system:time_start,undefined
"Jan 1, 1985",0.096
"Feb 2, 1985",
"Mar 6, 1985",0.1
"Apr 7, 1985",0.399
"May 9, 1985",
"Jun 10, 1985",
"Jul 12, 1985",0.243
"Aug 13, 1985",0.232
"Sep 14, 1985",
"Oct 16, 1985",0.097
"Nov 17, 1985",
"Dec 19, 1985",
"Jan 1, 1986",
"Feb 2, 1986",
"Mar 6, 1986",0.185
"Apr 7, 1986",0.267
"May 9, 1986",0.417
"Jun 10, 1986",0.054
"Jul 12, 1986",0.349
"Aug 13, 1986",0.289
"Sep 14, 1986",0.03
"Oct 16, 1986",0.138
"Nov 17, 1986",
"Dec 19, 1986",0.105
"Jan 1, 1987",0.105
"Feb 2, 1987",0.109
"Mar 6, 1987",0.088
"Apr 7, 1987",0.362
"May 9, 1987",0.512
"Jun 10, 1987",0.332
"Jul 12, 1987",0.24
"Aug 13, 1987",0.181
"Sep 14, 1987",0.206
"Oct 16, 1987",0.177
"Nov 17, 1987",0.113
"Dec 19, 1987",0.156
"Jan 1, 1988",0.156
"Feb 2, 1988",0.001
"Mar 5, 1988",0.213
"Apr 6, 1988",0.084
"May 8, 1988",0.117
"Jun 9, 1988",0.467
"Jul 11, 1988",0.024
"Aug 12, 1988",0.03
"Sep 13, 1988",0.361
"Oct 15, 1988",0.218
"Nov 16, 1988",0.09
"Dec 18, 1988",0.13
"Jan 1, 1989",0.065
"Feb 2, 1989",0.078
"Mar 6, 1989",0.159
"Apr 7, 1989",0.102
"May 9, 1989",0.286
"Jun 10, 1989",0.32
"Jul 12, 1989",0.244
"Aug 13, 1989",0.275
"Sep 14, 1989",0.265
"Oct 16, 1989",
"Nov 17, 1989",
"Dec 19, 1989",0.066
"Jan 1, 1990",0.066
"Feb 2, 1990",0.175
"Mar 6, 1990",0.351
"Apr 7, 1990",
"May 9, 1990",0.5
"Jun 10, 1990",0.317
"Jul 12, 1990",
"Aug 13, 1990",0.247
"Sep 14, 1990",0.15
"Oct 16, 1990",0.154
"Nov 17, 1990",0.185
"Dec 19, 1990",0.131
"Jan 1, 1991",-0.488
"Feb 2, 1991",0.035
"Mar 6, 1991",0.032
"Apr 7, 1991",0.461
"May 9, 1991",0.51
"Jun 10, 1991",0.405
"Jul 12, 1991",0.302
"Aug 13, 1991",0.207
"Sep 14, 1991",0.164
"Oct 16, 1991",0.08
"Nov 17, 1991",-0.02
"Dec 19, 1991",0.054
"Jan 1, 1992",0.092
"Feb 2, 1992",0.092
"Mar 5, 1992",0.08
"Apr 6, 1992",0.188
"May 8, 1992",0.509
"Jun 9, 1992",0.514
"Jul 11, 1992",0.42
"Aug 12, 1992",0.017
"Sep 13, 1992",-0.001
"Oct 15, 1992",-0.015
"Nov 16, 1992",0.151
"Dec 18, 1992",0.065
"Jan 1, 1993",0.049
"Feb 2, 1993",0.09
"Mar 6, 1993",0.144
"Apr 7, 1993",0.196
"May 9, 1993",0.579
"Jun 10, 1993",0.365
"Jul 12, 1993",0.162
"Aug 13, 1993",
"Sep 14, 1993",0.147
"Oct 16, 1993",0.178
"Nov 17, 1993",0.086
"Dec 19, 1993",0.115
"Jan 1, 1994",0.118
"Feb 2, 1994",0.046
"Mar 6, 1994",0.115
"Apr 7, 1994",0.269
"May 9, 1994",0.567
"Jun 10, 1994",0.299
"Jul 12, 1994",0.175
"Aug 13, 1994",0.189
"Sep 14, 1994",0.168
"Oct 16, 1994",0.021
"Nov 17, 1994",0.109
"Dec 19, 1994",0.011
"Jan 1, 1995",0.144
"Feb 2, 1995",0.166
"Mar 6, 1995",0.276
"Apr 7, 1995",0.428
"May 9, 1995",0.242
"Jun 10, 1995",0.07
"Jul 12, 1995",0.069
"Aug 13, 1995",0.115
"Sep 14, 1995",0.124
"Oct 16, 1995",0.202
"Nov 17, 1995",0.315
"Dec 19, 1995",0.057
"Jan 1, 1996",0.182
"Feb 2, 1996",0.171
"Mar 5, 1996",0.235
"Apr 6, 1996",0.398
"May 8, 1996",0.119
"Jun 9, 1996",0.287
"Jul 11, 1996",0.018
"Aug 12, 1996",0.12
"Sep 13, 1996",0.121
"Oct 15, 1996",0.083
"Nov 16, 1996",-0.01
"Dec 18, 1996",
"Jan 1, 1997",0.215
"Feb 2, 1997",0.167
"Mar 6, 1997",0.057
"Apr 7, 1997",0.2
"May 9, 1997",0.366
"Jun 10, 1997",0.176
"Jul 12, 1997",0.125
"Aug 13, 1997",0.245
"Sep 14, 1997",0.386
"Oct 16, 1997",0.36
"Nov 17, 1997",0.292
"Dec 19, 1997",0.137
"Jan 1, 1998",0.137
"Feb 2, 1998",0.128
"Mar 6, 1998",0.161
"Apr 7, 1998",0.148
"May 9, 1998",0.451
"Jun 10, 1998",0.199
"Jul 12, 1998",0.185
"Aug 13, 1998",0.109
"Sep 14, 1998",0.123
"Oct 16, 1998",0.109
"Nov 17, 1998",0.069
"Dec 19, 1998",0.102
"Jan 1, 1999",0.117
"Feb 2, 1999",0.126
"Mar 6, 1999",0.161
"Apr 7, 1999",0.087
"May 9, 1999",
"Jun 10, 1999",0.286
"Jul 12, 1999",0.143
"Aug 13, 1999",0.136
"Sep 14, 1999",0.238
"Oct 16, 1999",0.27
"Nov 17, 1999",0.218
"Dec 19, 1999",
"Jan 1, 2000",
"Feb 2, 2000",0.058
"Mar 5, 2000",0.203
"Apr 6, 2000",0.185
"May 8, 2000",0.301
"Jun 9, 2000",0.165
"Jul 11, 2000",
"Aug 12, 2000",0.1
"Sep 13, 2000",0.435
"Oct 15, 2000",0.289
"Nov 16, 2000",0.298
"Dec 18, 2000",0.319
"Jan 1, 2001",0.319
"Feb 2, 2001",
"Mar 6, 2001",0.372
"Apr 7, 2001",0.652
"May 9, 2001",0.354
"Jun 10, 2001",0.491
"Jul 12, 2001",0.171
"Aug 13, 2001",0.11
"Sep 14, 2001",0.09
"Oct 16, 2001",0.051
"Nov 17, 2001",0.148
"Dec 19, 2001",0.138
"Jan 1, 2002",0.133
"Feb 2, 2002",0.133
"Mar 6, 2002",0.191
"Apr 7, 2002",0.353
"May 9, 2002",0.626
"Jun 10, 2002",0.336
"Jul 12, 2002",0.205
"Aug 13, 2002",0.199
"Sep 14, 2002",0.353
"Oct 16, 2002",0.479
"Nov 17, 2002",0.024
"Dec 19, 2002",-0.349
"Jan 1, 2003",0.21
"Feb 2, 2003",0.402
"Mar 6, 2003",0.157
"Apr 7, 2003",0.383
"May 9, 2003",0.465
"Jun 10, 2003",
"Jul 12, 2003",0.559
"Aug 13, 2003",
"Sep 14, 2003",0.211
"Oct 16, 2003",0.256
"Nov 17, 2003",0.222
"Dec 19, 2003",0.142
"Jan 1, 2004",0.166
"Feb 2, 2004",0.202
"Mar 5, 2004",0.286
"Apr 6, 2004",0.25
"May 8, 2004",0.559
"Jun 9, 2004",0.38
"Jul 11, 2004",0.15
"Aug 12, 2004",0.175
"Sep 13, 2004",0.293
"Oct 15, 2004",0.294
"Nov 16, 2004",0.227
"Dec 18, 2004",0.134
"Jan 1, 2005",0.152
"Feb 2, 2005",0.157
"Mar 6, 2005",0.203
"Apr 7, 2005",0.415
"May 9, 2005",0.549
"Jun 10, 2005",0.372
"Jul 12, 2005",0.227
"Aug 13, 2005",0.208
"Sep 14, 2005",0.301
"Oct 16, 2005",0.451
"Nov 17, 2005",0.389
"Dec 19, 2005",0.258
"Jan 1, 2006",0.27
"Feb 2, 2006",0.155
"Mar 6, 2006",0.299
"Apr 7, 2006",0.445
"May 9, 2006",0.664
"Jun 10, 2006",0.395
"Jul 12, 2006",0.201
"Aug 13, 2006",0.144
"Sep 14, 2006",0.134
"Oct 16, 2006",0.434
"Nov 17, 2006",0.272
"Dec 19, 2006",0.304
"Jan 1, 2007",0.192
"Feb 2, 2007",0.106
"Mar 6, 2007",0.21
"Apr 7, 2007",0.303
"May 9, 2007",0.615
"Jun 10, 2007",0.462
"Jul 12, 2007",0.349
"Aug 13, 2007",0.252
"Sep 14, 2007",0.218
"Oct 16, 2007",
"Nov 17, 2007",0.196
"Dec 19, 2007",0.098
"Jan 1, 2008",-0.026
"Feb 2, 2008",0.067
"Mar 5, 2008",0.203
"Apr 6, 2008",0.259
"May 8, 2008",0.536
"Jun 9, 2008",0.559
"Jul 11, 2008",0.326
"Aug 12, 2008",0.187
"Sep 13, 2008",0.36
"Oct 15, 2008",0.249
"Nov 16, 2008",0.222
"Dec 18, 2008",0.043
"Jan 1, 2009",0.021
"Feb 2, 2009",0.099
"Mar 6, 2009",0.251
"Apr 7, 2009",0.225
"May 9, 2009",0.37
"Jun 10, 2009",0.468
"Jul 12, 2009",0.217
"Aug 13, 2009",0.131
"Sep 14, 2009",0.191
"Oct 16, 2009",0.438
"Nov 17, 2009",0.358
"Dec 19, 2009",0.324
"Jan 1, 2010",0.301
"Feb 2, 2010",0.156
"Mar 6, 2010",0.287
"Apr 7, 2010",
"May 9, 2010",0.603
"Jun 10, 2010",0.413
"Jul 12, 2010",0.306
"Aug 13, 2010",0.193
"Sep 14, 2010",0.227
"Oct 16, 2010",0.365
"Nov 17, 2010",0.006
"Dec 19, 2010",0.309
"Jan 1, 2011",
"Feb 2, 2011",0.093
"Mar 6, 2011",0.248
"Apr 7, 2011",0.307
"May 9, 2011",0.675
"Jun 10, 2011",0.394
"Jul 12, 2011",0.452
"Aug 13, 2011",0.174
"Sep 14, 2011",0.189
"Oct 16, 2011",0.171
"Nov 17, 2011",0.121
"Dec 19, 2011",0.128
"Jan 1, 2012",0.123
"Feb 2, 2012",0.014
"Mar 5, 2012",0.149
"Apr 6, 2012",0.318
"May 8, 2012",0.469
"Jun 9, 2012",0.38
"Jul 11, 2012",0.296
"Aug 12, 2012",0.196
"Sep 13, 2012",0.264
"Oct 15, 2012",0.271
"Nov 16, 2012",0.121
"Dec 18, 2012",0.19
"Jan 1, 2013",0.187
"Feb 2, 2013",0.132
"Mar 6, 2013",0.359
"Apr 7, 2013",0.592
"May 9, 2013",0.523
"Jun 10, 2013",0.287
"Jul 12, 2013",0.238
"Aug 13, 2013",0.268
"Sep 14, 2013",0.269
"Oct 16, 2013",0.204
"Nov 17, 2013",0.224
"Dec 19, 2013",0.189
"Jan 1, 2014",0.189
"Feb 2, 2014",0.213
"Mar 6, 2014",0.259
"Apr 7, 2014",0.273
"May 9, 2014",0.457
"Jun 10, 2014",0.239
"Jul 12, 2014",0.187
"Aug 13, 2014",0.197
"Sep 14, 2014",0.245
"Oct 16, 2014",0.293
"Nov 17, 2014",0.176
"Dec 19, 2014",0.236
"Jan 1, 2015",0.236
"Feb 2, 2015",0.27
"Mar 6, 2015",0.364
"Apr 7, 2015",0.563
"May 9, 2015",0.736
"Jun 10, 2015",0.375
"Jul 12, 2015",0.238
"Aug 13, 2015",0.171
"Sep 14, 2015",0.221
"Oct 16, 2015",0.269
"Nov 17, 2015",0.323
"Dec 19, 2015",0.099
"Jan 1, 2016",0.266
"Feb 2, 2016",0.28
"Mar 5, 2016",0.285
"Apr 6, 2016",0.28
"May 8, 2016",0.359
"Jun 9, 2016",0.315
"Jul 11, 2016",0.316
"Aug 12, 2016",0.237
"Sep 13, 2016",0.175
"Oct 15, 2016",0.186
"Nov 16, 2016",0.169
"Dec 18, 2016",0.151
"Jan 1, 2017",0.151
"Feb 2, 2017",0.135
"Mar 6, 2017",0.241
"Apr 7, 2017",0.305
"May 9, 2017",0.366
"Jun 10, 2017",0.324
"Jul 12, 2017",0.218
"Aug 13, 2017",0.184
"Sep 14, 2017",0.143
"Oct 16, 2017",0.249
"Nov 17, 2017",0.309
"Dec 19, 2017",0.194
"Jan 1, 2018",0.194
"Feb 2, 2018",0.29
"Mar 6, 2018",0.269
"Apr 7, 2018",0.656
"May 9, 2018",0.357
"Jun 10, 2018",0.315
"Jul 12, 2018",0.309
"Aug 13, 2018",0.216
"Sep 14, 2018",0.262
"Oct 16, 2018",0.148
"Nov 17, 2018",0.216
"Dec 19, 2018",0.178
"Jan 1, 2019",0.206
"Feb 2, 2019",0.214
"Mar 6, 2019",0.224
"Apr 7, 2019",0.411
"May 9, 2019",0.351
"Jun 10, 2019",0.213
"Jul 12, 2019",0.169
"Aug 13, 2019",0.238
"Sep 14, 2019",0.168
"Oct 16, 2019",0.153
"Nov 17, 2019",0.157
"Dec 19, 2019",0.196
